Förnamn;Efternamn;E-postadress;Telefonnummer;Mobilnummer;Avdelning;Jobbtitel;Postadress;Postnummer;Ort;Land
marcus10;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna18;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
marcus17;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna16;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
marcus15;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna14;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
marcus13;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna11;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
marcus12;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna9;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
marcus8;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna7;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
marcus6;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna5;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
marcus4;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna16;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
marcus2;Andersson;johan@gmail.com;0001;;Försäljning;Säljare;Havsgränd 2;123 45;Rönninge;Sverige
hanna1;Åkesson;ake@gmail.com;;0002;HR;Personalansvarig;Havsgränd 2;123 45;Rönninge;Sverige
